client_id,Delinquent90
75000,0.043652668442629994
75001,0.475854198931266
75002,0.014079014814973792
75003,0.05121475957297816
75004,0.010438842931005242
75005,0.013204227664262531
75006,0.012909508852686371
75007,0.01492171939256497
75008,0.04419820590120939
75009,0.061353489884434016
75010,0.2007239526471265
75011,0.0346098861323771
75012,0.04186576897732069
75013,0.01729132385573264
75014,0.3756992552532287
75015,0.33000447558837515
75016,0.0989215731618416
75017,0.01433916953110443
75018,0.010081752304101532
75019,0.13658762892103804
75020,0.018814950967198076
75021,0.06532660314675671
75022,0.10165975110317083
75023,0.012391380428087628
75024,0.10134017280575888
75025,0.14742594355569713
75026,0.01936006516044687
75027,0.01147767439662273
75028,0.01692327942246345
75029,0.010665041201590678
75030,0.04008867124463851
75031,0.011585078888995185
75032,0.10012604382763972
75033,0.11228975897066737
75034,0.011337519659036548
75035,0.01018641534232761
75036,0.015301860572058346
75037,0.015433665673119944
75038,0.011129340061295385
75039,0.1030078047575098
75040,0.014634658691431346
75041,0.032944719280061444
75042,0.010193624697059029
75043,0.01195307689488927
75044,0.032086943317211895
75045,0.04214707708797228
75046,0.011397342810261401
75047,0.012416180440526217
75048,0.24317778586859282
75049,0.16748901838760324
75050,0.010133665308945404
75051,0.011322022618479867
75052,0.337183618565391
75053,0.010520472244869145
75054,0.04483102211727563
75055,0.012554917114483805
75056,0.050577834972620805
75057,0.17190528159116306
75058,0.05134593983344456
75059,0.1267178640596226
75060,0.1701090778334219
75061,0.01443318366688158
75062,0.12492352437182681
75063,0.014968853092124201
75064,0.04820242134351425
75065,0.01965464747610049
75066,0.010046615554875985
75067,0.045989258864500386
75068,0.06432929784823577
75069,0.0418481804985847
75070,0.016244769447994366
75071,0.017419547879902218
75072,0.045921132680246245
75073,0.05963080305448516
75074,0.12447911318893863
75075,0.014224092585075487
75076,0.011952103680870324
75077,0.16797547066182308
75078,0.1622170850280024
75079,0.014012574769171853
75080,0.047925647044958476
75081,0.10120651822113944
75082,0.011843990765476611
75083,0.037874308269307794
